plate,mjd,fiberid,snMedian,psfmag_g,psfmag_r,gmr
1706,53442,96,45.24118,18.88834,18.49016,0.3981819
1985,53431,325,25.87278,18.42663,18.19135,0.2352848
2217,53794,96,21.81534,18.52435,18.25731,0.2670403
2218,53816,258,26.25915,18.41641,18.33678,0.07962227
2784,54529,507,21.85357,18.94702,18.58543,0.3615856
3149,54806,6,32.19307,18.52006,18.25945,0.2606106
3150,54806,474,31.19704,18.21323,18.0106,0.2026291
3150,54806,553,21.99105,18.9664,18.59268,0.3737183
3151,54804,401,22.20169,18.93072,18.6607,0.2700195
3152,54801,89,24.90014,18.98964,18.64597,0.3436737
3152,54801,158,38.60839,18.29819,18.01582,0.2823715
3152,54801,338,31.12605,18.57848,18.33502,0.2434635
3154,54821,278,30.52762,18.39773,18.07111,0.3266182
3155,54829,342,23.42318,18.50419,18.65938,-0.1551895
3692,55186,718,33.14966,18.95227,18.59033,0.3619442
3957,55664,712,21.07005,18.63844,18.292,0.3464489
3960,55663,439,24.20726,18.15783,18.25339,-0.09555817
4420,55883,360,23.80885,18.29523,18.02384,0.2713833
4692,55644,818,21.38436,17.73071,18.26969,-0.5389786
4693,55632,864,21.34082,18.83269,18.522,0.3106861
4695,55957,244,20.05788,18.8805,18.6181,0.2624016
4695,55957,676,21.71297,18.81825,18.50411,0.3141384
4877,55707,188,24.4447,18.20526,18.05242,0.1528473
5440,55983,350,23.4803,18.07462,18.05746,0.01715851
6120,56206,852,24.13265,18.58911,18.2271,0.3620052
665,52168,280,21.53807,18.31643,18.20081,0.1156178
961,52615,553,20.21517,18.23828,18.11484,0.1234455
1275,52996,462,22.46297,17.85558,18.05623,-0.200655
1883,53271,323,21.60523,18.53886,18.37255,0.1663132
1885,53230,342,32.76441,18.94977,18.73531,0.2144642
2240,53823,170,22.74078,18.67401,18.33184,0.342165
2526,54582,252,21.47567,18.11055,18.03764,0.07291412
2828,54438,280,27.47201,18.73143,18.39178,0.3396435
2828,54438,392,22.15166,18.97683,18.76528,0.2115459
3230,54860,314,28.85464,18.42465,18.15726,0.267395
3231,54890,237,31.20892,18.7366,18.36291,0.3736897
3233,54891,184,20.87207,18.63503,18.62909,0.005943298
3234,54885,206,32.33528,17.92818,18.05292,-0.1247425
3235,54880,256,22.97746,18.45728,18.41208,0.04520988
3236,54892,565,20.7167,19.01077,18.6312,0.3795795
3817,55277,692,22.21219,18.87374,18.67393,0.19981
4078,55358,86,28.53035,18.82009,18.50732,0.3127689
4956,55737,324,20.16469,18.74197,18.42937,0.3126087
4961,55719,14,21.05437,18.83748,18.7582,0.07927704
5208,56008,70,21.11337,18.74083,18.47895,0.261879
5208,56008,240,23.30447,18.69151,18.37172,0.3197861
6004,56066,56,20.72028,18.18595,18.01805,0.1679058
6005,56090,378,22.85937,18.34655,18.18677,0.1597805
6005,56090,698,21.0874,17.93258,18.42362,-0.4910374
6520,56541,504,21.29036,18.47765,18.16548,0.31217
7096,56683,74,28.46056,18.30844,18.0324,0.2760391
7096,56683,552,24.78783,18.56439,18.2319,0.3324947
278,51900,405,20.66889,18.528,18.34,0.1880035
279,51984,70,24.63687,18.84725,18.53834,0.3089104
3111,54800,301,27.91401,18.34973,18.01121,0.3385143
3112,54802,51,26.07563,18.65825,18.31061,0.3476391
3114,54773,593,39.19658,18.9106,18.61422,0.2963829
3115,54793,178,23.60728,18.83061,18.44518,0.385437
3116,54792,364,32.13543,18.16549,18.26681,-0.1013165
3116,54792,381,28.50746,18.38994,18.09352,0.296423
3684,55246,334,21.98051,18.9207,18.60017,0.3205299
3686,55268,336,24.35728,18.16898,18.111,0.05798149
3973,55323,30,22.14567,18.52283,18.21438,0.3084507
3974,55320,848,22.56035,18.60522,18.36333,0.2418919
3975,55321,906,20.53839,18.68846,18.50112,0.1873379
4234,55478,376,20.61662,18.29864,18.7998,-0.5011673
4479,55592,916,26.74764,18.479,18.12733,0.3516655
5325,55980,342,20.10776,18.20678,18.6232,-0.4164238
5326,56002,770,24.29701,18.49121,18.36542,0.1257915
6036,56093,252,20.73598,18.30712,18.00996,0.2971649
6628,56366,146,22.37419,18.73319,18.61737,0.1158142
6629,56365,451,28.38705,18.52225,18.24038,0.2818642
6630,56358,787,26.63266,19.07645,18.72139,0.3550587
6828,56430,284,26.46748,18.26422,18.12522,0.1389942
7254,56625,780,21.66259,18.9652,18.63888,0.3263187
7255,56597,253,26.16887,18.43089,18.08348,0.3474121
2268,53682,185,20.38388,18.52216,18.27242,0.2497368
2269,53711,566,20.06735,18.53549,18.3559,0.1795921
2270,53714,92,21.03011,18.49577,18.11522,0.3805485
3321,54924,245,23.42354,18.60869,18.3421,0.2665939
3324,54943,355,24.34691,18.40899,18.06628,0.3427048
3327,54951,399,28.59172,18.44434,18.14609,0.298254
3329,54970,606,23.14548,18.55289,18.33875,0.2141418
3329,54970,615,24.67436,18.4479,18.06589,0.3820171
4646,55622,758,24.85913,18.32137,18.01637,0.3050003
5950,56211,215,23.26738,18.56992,18.26162,0.3083019
5952,56453,696,22.73011,18.74589,18.37728,0.3686085
5954,56462,24,22.56635,19.16228,18.93,0.2322807
6669,56413,384,23.18672,18.34245,18.0384,0.3040428
6670,56389,168,24.0279,18.29593,18.10262,0.1933098
6670,56389,800,20.06312,17.90065,18.35475,-0.4541054
7055,56576,624,26.28931,18.35601,18.19446,0.1615562
429,51820,627,23.99015,18.27876,18.08713,0.1916275
1915,53612,439,22.89474,18.41537,18.10969,0.305687
1917,53557,363,24.27492,18.5159,18.2916,0.2242985
3466,54998,121,20.01378,18.97118,18.65066,0.3205204
3466,54998,205,21.67961,18.64164,18.29462,0.3470192
3466,54998,260,21.5913,18.15888,18.01641,0.1424751
3478,55008,120,22.88058,18.07247,18.26679,-0.1943188
3867,55652,664,20.07418,18.51063,18.20702,0.3036156
4454,55536,408,23.47455,18.80392,18.48788,0.3160362
5435,55982,130,24.02298,18.8331,18.5095,0.3236027
5868,56045,326,21.85122,18.48237,18.25724,0.2251301
6691,56413,752,21.21868,18.65884,18.39426,0.2645741
6692,56390,378,23.34009,18.31518,18.03592,0.2792568
7109,56658,368,33.21342,18.45891,18.12261,0.3362923
7111,56741,318,23.15258,18.50484,18.15425,0.3505936
407,51820,190,20.52027,19.26144,18.96627,0.2951736
2510,53877,314,21.04187,18.53705,18.27101,0.2660389
2820,54599,193,23.20265,18.64005,18.36641,0.2736473
2821,54393,147,30.41134,19.07231,18.74293,0.3293743
2821,54393,484,37.16315,18.98479,18.74774,0.2370453
3252,54893,344,26.30181,18.32308,18.23926,0.08382225
3255,54885,245,20.89221,18.91517,18.53901,0.3761559
3257,54888,477,23.17062,18.51867,18.57349,-0.05481911
4355,55533,604,22.53197,18.78921,18.43855,0.3506622
4605,55971,316,21.85122,18.4523,18.42904,0.02326012
4843,55860,804,27.47447,18.38379,18.10781,0.2759762
5485,56063,792,20.79479,18.80849,18.47536,0.333128
6295,56536,652,21.87008,18.69138,18.3594,0.3319759
6972,56426,278,21.66436,17.94068,18.40912,-0.4684448
6976,56448,635,21.91713,18.57396,18.28908,0.2848797
7327,56715,800,23.47425,18.69385,18.42106,0.2727909
7611,56946,401,20.68797,19.1347,18.96502,0.1696758
333,52313,360,20.60758,18.56905,18.34938,0.2196655
338,51694,173,24.27194,18.35896,18.02508,0.3338814
